,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,demande,request
7,genre,kind
8,mois,month
9,frère,brother
10,laisser,let
11,car,because
12,mettre,to put
13,laisse,leash
14,eux,them
15,ville,city
16,chaque,each
17,parlé,speak
18,arrivé,come
19,devrait,should
20,bébé,baby
21,longtemps,long time
22,heures,hours
23,vont,will
24,pendant,while
25,aucune,any
26,place,square
27,parle,speak
28,compris,understood
29,savais,knew
30,étaient,were
31,attention,Warning
32,voici,here is
33,pourrais,could
34,affaire,case
35,donner,give
36,type,type
37,leurs,their
38,donné,given
39,train,train
40,corps,body
41,endroit,place
42,yeux,eyes
43,écoute,listen
44,dont,whose
45,trouve,find
46,premier,first
47,perdu,lost
48,main,hand
49,première,first
50,côté,side
51,pouvoir,power
52,matin,morning
53,tellement,so much
54,enfant,child
55,point,point
56,venu,came
57,venez,come
58,devant,in front of
59,minutes,minutes
60,demandé,request
61,chambre,bedroom
62,mis,placed
63,belle,beautiful
64,droit,law
65,aimerais,would like to
66,aujourd'hui,today
67,mari,husband
68,cause,cause
69,enfin,finally
70,espère,hope
71,eau,water
72,attendez,Wait
73,parti,left
74,nouvelle,new
75,arrêter,Stop
76,dirait,would say
77,compte,account
78,donne,given
79,loin,far
80,fin,end
81,chérie,sweetheart
82,gros,large
83,plutôt,rather
84,aura,will have
85,filles,girls
86,jouer,to play
